Period,Ecosystem/Croptype,Geolocation,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Annual,Irrigated Palay,Batangas,33819.00,32196.00,30072.00,30524.00,32390.31,32780.12,24435.00,26724.84,27369.61,32418.66
Annual,Irrigated Palay,Cavite,44484.00,40688.00,34301.00,33343.00,35465.28,28500.76,23415.60,27089.66,22744.58,20668.09
Annual,Irrigated Palay,Laguna,130383.00,132837.00,130596.00,129142.00,130358.53,148969.61,127442.83,116832.31,124491.01,142053.67
Annual,Irrigated Palay,Quezon,102003.00,91604.00,104594.00,105758.00,114259.00,101224.42,117940.60,127357.00,113964.00,132266.00
Annual,Irrigated Palay,Rizal,22107.00,25531.00,27348.00,25692.00,24362.58,16611.56,12442.52,21782.16,21752.86,21519.02
Annual,Rainfed Palay,Batangas,12556.00,7813.00,9725.00,11722.00,14919.48,12202.50,8566.50,8629.20,7502.33,5608.15
Annual,Rainfed Palay,Cavite,1796.00,1673.00,1345.00,1389.00,1573.44,1493.85,1211.00,739.00,469.20,303.51
Annual,Rainfed Palay,Laguna,521.00,301.00,212.00,216.00,977.27,575.56,1883.82,3391.71,3940.37,4201.68
Annual,Rainfed Palay,Quezon,52777.00,55384.00,63518.00,67470.00,63111.25,36219.93,68238.00,75726.00,71914.50,72363.00
Annual,Rainfed Palay,Rizal,5136.00,4880.00,5413.00,5577.00,2816.33,2203.65,1344.07,1643.20,1750.24,1997.64
Annual,Palay,Batangas,46375.00,40009.00,39797.00,42246.00,47309.79,44982.62,33001.50,35354.04,34871.94,38026.81
Annual,Palay,Cavite,46280.00,42361.00,35646.00,34732.00,37038.72,29994.61,24626.60,27828.66,23213.78,20971.60
Annual,Palay,Laguna,130904.00,133138.00,130808.00,129358.00,131335.80,149545.17,129326.65,120224.02,128431.37,146255.35
Annual,Palay,Quezon,154780.00,146988.00,168112.00,173228.00,177370.25,137444.35,186178.60,203083.00,185878.50,204629.00
Annual,Palay,Rizal,27243.00,30411.00,32761.00,31269.00,27178.91,18815.21,13786.59,23425.36,23503.10,23516.66
Annual,White Corn,Batangas,16250.00,8266.00,10408.00,12617.00,8107.00,10719.85,7888.00,10310.00,9585.50,7194.70
Annual,White Corn,Cavite,684.00,1198.00,1438.00,1547.75,1408.71,1400.91,1168.44,915.41,701.30,612.27
Annual,White Corn,Laguna,1455.00,1452.00,2155.00,2664.00,3093.47,3676.74,2883.35,2617.00,3286.34,3616.20
Annual,White Corn,Quezon,11787.96,13466.00,16577.00,12717.00,13707.00,7580.00,10933.03,9324.00,7921.00,6632.00
Annual,White Corn,Rizal,759.00,1020.00,289.00,452.00,346.02,536.82,815.50,416.16,528.78,374.55
Annual,Yellow Corn,Batangas,5100.00,4088.00,4963.00,2177.00,4618.00,3157.00,2568.00,6032.15,6202.22,6719.75
Annual,Yellow Corn,Cavite,1020.00,1125.00,327.00,582.40,548.00,234.13,261.53,242.00,336.76,323.57
Annual,Yellow Corn,Laguna,794.00,2091.00,1687.00,1627.00,1725.42,1600.89,1945.68,1503.00,1764.61,1936.95
Annual,Yellow Corn,Quezon,35578.00,31156.00,58518.00,56908.00,56198.00,39788.00,45594.00,34727.00,29897.00,26635.00
Annual,Yellow Corn,Rizal,901.00,961.00,459.00,1470.00,1666.44,1092.33,1703.57,1058.50,628.93,921.53
Annual,Corn,Batangas,21350.00,12354.00,15371.00,14794.00,12725.00,13876.85,10456.00,16342.15,15787.72,13914.45
Annual,Corn,Cavite,1704.00,2323.00,1765.00,2130.15,1956.71,1635.04,1429.97,1157.41,1038.06,935.84
Annual,Corn,Laguna,2249.00,3543.00,3842.00,4291.00,4818.89,5277.63,4829.03,4120.00,5050.95,5553.15
Annual,Corn,Quezon,47365.96,44622.00,75095.00,69625.00,69905.00,47368.00,56527.03,44051.00,37818.00,33267.00
Annual,Corn,Rizal,1660.00,1981.00,748.00,1922.00,2012.46,1629.15,2519.07,1474.66,1157.71,1296.08
